iter	Logloss
0	0.6912609909
1	0.6886594222
2	0.6856792316
3	0.6824174428
4	0.6809701154
5	0.6780486824
6	0.6756639928
7	0.6730844267
8	0.6701740761
9	0.6668119365
10	0.6656565929
11	0.6631802099
12	0.6611839727
13	0.658833562
14	0.6563401165
15	0.6521416672
16	0.6502523715
17	0.6485191285
18	0.6464364173
19	0.6458352847
20	0.6454517711
21	0.6426573902
22	0.6407267011
23	0.6381932343
24	0.6364704643
25	0.6348284806
26	0.6328777179
27	0.6303228359
28	0.6282771937
29	0.6270838637
30	0.6250228196
31	0.6231492004
32	0.6223148064
33	0.6211106802
34	0.6198163795
35	0.6182664078
36	0.6164884433
37	0.6159688956
38	0.6138717981
39	0.6133198386
40	0.6119750706
41	0.6113207068
42	0.6110114209
43	0.6089949874
44	0.6077772082
45	0.6058262945
46	0.6044726443
47	0.6024802199
48	0.6005575947
49	0.5997990135
50	0.5979982948
51	0.5973353925
52	0.5964959447
53	0.595187929
54	0.593387059
55	0.5919690708
56	0.5909839258
57	0.5893952845
58	0.5885471459
59	0.5872601393
60	0.5858154932
61	0.5851157906
62	0.5839419077
63	0.5819875587
64	0.5810361563
65	0.5797742397
66	0.5794414657
67	0.5786876751
68	0.5782343114
69	0.5772326388
70	0.5760133759
71	0.5747514398
72	0.5733273516
73	0.5721379664
74	0.5709462196
75	0.5705304106
76	0.5698575837
77	0.5682829944
78	0.567475147
79	0.5658706204
80	0.5646603949
81	0.5640936525
82	0.5634766378
83	0.5617971449
84	0.5611452004
85	0.5599165266
86	0.558777422
87	0.5578406071
88	0.556950195
89	0.5561991591
90	0.5553197897
91	0.5546330922
92	0.5534670742
93	0.5522768925
94	0.5510327917
95	0.5502059479
96	0.5496128599
97	0.5486952506
98	0.5484587913
99	0.5477706658
100	0.5474084072
101	0.5467625001
102	0.5459326199
103	0.5447148864
104	0.544019959
105	0.5433702748
106	0.5426036218
107	0.5421161648
108	0.5413350411
109	0.5404462629
110	0.5403729613
111	0.5397389603
112	0.5393336384
113	0.5388454741
114	0.538248496
115	0.5379471846
116	0.5374842955
117	0.5364452856
118	0.5363221891
119	0.5359709885
120	0.5350501444
121	0.5340893969
122	0.5337676204
123	0.5335193301
124	0.5334349047
125	0.5330261165
126	0.5325666759
127	0.5321130384
128	0.530063862
129	0.5290552766
130	0.5281778212
131	0.5279637575
132	0.5270698565
133	0.5263829254
134	0.5256305262
135	0.5246953637
136	0.5245842626
137	0.5236042215
138	0.5227808875
139	0.5221626774
140	0.5215248259
141	0.5207153888
142	0.5192915693
143	0.5182272034
144	0.5178532576
145	0.517284763
146	0.5162287426
147	0.5156622491
148	0.5151046401
149	0.5144824292
150	0.5143294859
151	0.5136315517
152	0.512653909
153	0.5119542633
154	0.5112841458
155	0.5108465021
156	0.5101824032
157	0.5098604845
158	0.5092998387
159	0.509117492
160	0.5090110788
161	0.50830611
162	0.5078225453
163	0.5065497958
164	0.5060457904
165	0.5056539872
166	0.5049459091
167	0.504745476
168	0.5042017022
169	0.5032488331
170	0.5025053302
171	0.5024202266
172	0.5020986685
173	0.5014309724
174	0.500825883
175	0.5007266
176	0.5001439035
177	0.4995934123
178	0.4993850579
179	0.4985730482
180	0.4982954816
181	0.4981980057
182	0.4976914274
183	0.4972089978
184	0.4968747385
185	0.4964801987
186	0.4958190392
187	0.4952199518
188	0.4948742779
189	0.4942348681
190	0.493258294
191	0.4928583957
192	0.4927417332
193	0.492592802
194	0.4920913217
195	0.4916944918
196	0.4913569177
197	0.490494509
198	0.4898995982
199	0.4893753612
200	0.4885628854
201	0.4881872927
202	0.4878436843
203	0.4874203113
204	0.4868141925
205	0.4862516559
206	0.4858408043
207	0.4854659015
208	0.4850321069
209	0.4844265054
210	0.4841822761
211	0.4837480068
212	0.4833009009
213	0.4829408395
214	0.4825523957
215	0.4816308045
216	0.481352302
217	0.4809530885
218	0.4807454116
219	0.4806393419
220	0.4805823446
221	0.4802918893
222	0.4799064834
223	0.4794560724
224	0.4791890104
225	0.4787978148
226	0.4777868622
227	0.4774156193
228	0.4770923538
229	0.4761215161
230	0.4758630839
231	0.4756379387
232	0.4750982605
233	0.4747314009
234	0.4739709449
235	0.4735206421
236	0.4731801431
237	0.4728300765
238	0.4726988264
239	0.4724895185
240	0.4721453224
241	0.4718506836
242	0.4715069326
243	0.4714416566
244	0.4711798465
245	0.4707120988
246	0.4703424051
247	0.4703232081
248	0.4701155261
249	0.4691894037
250	0.4688209682
251	0.4687789301
252	0.4687157574
253	0.4682621849
254	0.4675619692
255	0.4671245518
256	0.4666012877
257	0.466379398
258	0.4660047381
259	0.4658919778
260	0.4654600901
261	0.4649411379
262	0.4646005712
263	0.4644761912
264	0.4639962926
265	0.4637997377
266	0.4635106242
267	0.463052949
268	0.4629527807
269	0.4627025369
270	0.462622261
271	0.4623790893
272	0.4622653921
273	0.4622230283
274	0.4620773326
275	0.461391068
276	0.4609678731
277	0.460905007
278	0.4607482157
279	0.4605722294
280	0.4604201359
281	0.4599983694
282	0.459993561
283	0.4598779186
